"Período";"Riesgo País en Puntos básicos"
"2004-07-29 00:00:00";870
"2004-07-30 00:00:00";852
"2004-07-31 00:00:00";852
"2004-08-01 00:00:00";852
"2004-08-02 00:00:00";872
"2004-08-03 00:00:00";869
"2004-08-04 00:00:00";869
"2004-08-05 00:00:00";849
"2004-08-06 00:00:00";842
"2004-08-07 00:00:00";842
"2004-08-08 00:00:00";842
"2004-08-09 00:00:00";827
"2004-08-10 00:00:00";830
"2004-08-11 00:00:00";851
"2004-08-12 00:00:00";846
"2004-08-13 00:00:00";831
"2004-08-14 00:00:00";831
"2004-08-15 00:00:00";831
"2004-08-16 00:00:00";832
"2004-08-17 00:00:00";841
"2004-08-18 00:00:00";840
"2004-08-19 00:00:00";830
"2004-08-20 00:00:00";822
"2004-08-21 00:00:00";822
"2004-08-22 00:00:00";822
"2004-08-23 00:00:00";830
"2004-08-24 00:00:00";814
"2004-08-25 00:00:00";823
"2004-08-26 00:00:00";826
"2004-08-27 00:00:00";826
"2004-08-28 00:00:00";826
"2004-08-29 00:00:00";826
"2004-08-30 00:00:00";812
"2004-08-31 00:00:00";813
"2004-09-01 00:00:00";815
"2004-09-02 00:00:00";812
"2004-09-03 00:00:00";809
"2004-09-04 00:00:00";809
"2004-09-05 00:00:00";809
"2004-09-06 00:00:00";809
"2004-09-07 00:00:00";816
"2004-09-08 00:00:00";821
"2004-09-09 00:00:00";849
"2004-09-10 00:00:00";848
"2004-09-11 00:00:00";848
"2004-09-12 00:00:00";848
"2004-09-13 00:00:00";844
"2004-09-14 00:00:00";825
"2004-09-15 00:00:00";806
"2004-09-16 00:00:00";798
"2004-09-17 00:00:00";791
"2004-09-18 00:00:00";791
"2004-09-19 00:00:00";791
"2004-09-20 00:00:00";765
"2004-09-21 00:00:00";773
"2004-09-22 00:00:00";773
"2004-09-23 00:00:00";775
"2004-09-24 00:00:00";786
"2004-09-25 00:00:00";786
"2004-09-26 00:00:00";786
"2004-09-27 00:00:00";785
"2004-09-28 00:00:00";790
"2004-09-29 00:00:00";778
"2004-09-30 00:00:00";778
"2004-10-01 00:00:00";777
"2004-10-02 00:00:00";777
"2004-10-03 00:00:00";777
"2004-10-04 00:00:00";734
"2004-10-05 00:00:00";730
"2004-10-06 00:00:00";728
"2004-10-07 00:00:00";705
"2004-10-08 00:00:00";700
"2004-10-09 00:00:00";700
"2004-10-10 00:00:00";700
"2004-10-11 00:00:00";700
"2004-10-12 00:00:00";685
"2004-10-13 00:00:00";704
"2004-10-14 00:00:00";727
"2004-10-15 00:00:00";711
"2004-10-16 00:00:00";711
"2004-10-17 00:00:00";711
"2004-10-18 00:00:00";705
"2004-10-19 00:00:00";726
"2004-10-20 00:00:00";734
"2004-10-21 00:00:00";751
"2004-10-22 00:00:00";742
"2004-10-23 00:00:00";742
"2004-10-24 00:00:00";742
"2004-10-25 00:00:00";754
"2004-10-26 00:00:00";761
"2004-10-27 00:00:00";758
"2004-10-28 00:00:00";744
"2004-10-29 00:00:00";745
"2004-10-30 00:00:00";745
"2004-10-31 00:00:00";745
"2004-11-01 00:00:00";733
"2004-11-02 00:00:00";728
"2004-11-03 00:00:00";725
"2004-11-04 00:00:00";731
"2004-11-05 00:00:00";744
"2004-11-06 00:00:00";744
"2004-11-07 00:00:00";744
"2004-11-08 00:00:00";747
"2004-11-09 00:00:00";750
"2004-11-10 00:00:00";723
"2004-11-11 00:00:00";723
"2004-11-12 00:00:00";711
"2004-11-13 00:00:00";711
"2004-11-14 00:00:00";711
"2004-11-15 00:00:00";703
"2004-11-16 00:00:00";708
"2004-11-17 00:00:00";713
"2004-11-18 00:00:00";720
"2004-11-19 00:00:00";734
"2004-11-20 00:00:00";734
"2004-11-21 00:00:00";734
"2004-11-22 00:00:00";729
"2004-11-23 00:00:00";721
"2004-11-24 00:00:00";713
"2004-11-25 00:00:00";713
"2004-11-26 00:00:00";708
"2004-11-27 00:00:00";708
"2004-11-28 00:00:00";708
"2004-11-29 00:00:00";702
"2004-11-30 00:00:00";696
"2004-12-01 00:00:00";685
"2004-12-02 00:00:00";697
"2004-12-03 00:00:00";699
"2004-12-04 00:00:00";699
"2004-12-05 00:00:00";699
"2004-12-06 00:00:00";698
"2004-12-07 00:00:00";704
"2004-12-08 00:00:00";718
"2004-12-09 00:00:00";719
"2004-12-10 00:00:00";740
"2004-12-11 00:00:00";740
"2004-12-12 00:00:00";740
"2004-12-13 00:00:00";739
"2004-12-14 00:00:00";736
"2004-12-15 00:00:00";739
"2004-12-16 00:00:00";730
"2004-12-17 00:00:00";710
"2004-12-18 00:00:00";710
"2004-12-19 00:00:00";710
"2004-12-20 00:00:00";708
"2004-12-21 00:00:00";712
"2004-12-22 00:00:00";704
"2004-12-23 00:00:00";708
"2004-12-24 00:00:00";708
"2004-12-25 00:00:00";708
"2004-12-26 00:00:00";708
"2004-12-27 00:00:00";697
"2004-12-28 00:00:00";706
"2004-12-29 00:00:00";700
"2004-12-30 00:00:00";694
"2004-12-31 00:00:00";690
"2005-01-01 00:00:00";690
"2005-01-02 00:00:00";690
"2005-01-03 00:00:00";695
"2005-01-04 00:00:00";704
"2005-01-05 00:00:00";719
"2005-01-06 00:00:00";719
"2005-01-07 00:00:00";711
"2005-01-08 00:00:00";711
"2005-01-09 00:00:00";711
"2005-01-10 00:00:00";716
"2005-01-11 00:00:00";698
"2005-01-12 00:00:00";689
"2005-01-13 00:00:00";692
"2005-01-14 00:00:00";695
"2005-01-15 00:00:00";695
"2005-01-16 00:00:00";695
"2005-01-17 00:00:00";695
"2005-01-18 00:00:00";693
"2005-01-19 00:00:00";686
"2005-01-20 00:00:00";680
"2005-01-21 00:00:00";663
"2005-01-22 00:00:00";663
"2005-01-23 00:00:00";663
"2005-01-24 00:00:00";656
"2005-01-25 00:00:00";646
"2005-01-26 00:00:00";644
"2005-01-27 00:00:00";643
"2005-01-28 00:00:00";653
"2005-01-29 00:00:00";653
"2005-01-30 00:00:00";653
"2005-01-31 00:00:00";644
"2005-02-01 00:00:00";641
"2005-02-02 00:00:00";641
"2005-02-03 00:00:00";635
"2005-02-04 00:00:00";629
"2005-02-05 00:00:00";629
"2005-02-06 00:00:00";629
"2005-02-07 00:00:00";626
"2005-02-08 00:00:00";630
"2005-02-09 00:00:00";640
"2005-02-10 00:00:00";640
"2005-02-11 00:00:00";635
"2005-02-12 00:00:00";635
"2005-02-13 00:00:00";635
"2005-02-14 00:00:00";637
"2005-02-15 00:00:00";644
"2005-02-16 00:00:00";638
"2005-02-17 00:00:00";638
"2005-02-18 00:00:00";644
"2005-02-19 00:00:00";644
"2005-02-20 00:00:00";644
"2005-02-21 00:00:00";644
"2005-02-22 00:00:00";652
"2005-02-23 00:00:00";644
"2005-02-24 00:00:00";641
"2005-02-25 00:00:00";642
"2005-02-26 00:00:00";642
"2005-02-27 00:00:00";642
"2005-02-28 00:00:00";632
"2005-03-01 00:00:00";630
"2005-03-02 00:00:00";617
"2005-03-03 00:00:00";618
"2005-03-04 00:00:00";612
"2005-03-05 00:00:00";612
"2005-03-06 00:00:00";612
"2005-03-07 00:00:00";607
"2005-03-08 00:00:00";592
"2005-03-09 00:00:00";595
"2005-03-10 00:00:00";599
"2005-03-11 00:00:00";606
"2005-03-12 00:00:00";606
"2005-03-13 00:00:00";606
"2005-03-14 00:00:00";627
"2005-03-15 00:00:00";636
"2005-03-16 00:00:00";638
"2005-03-17 00:00:00";624
"2005-03-18 00:00:00";621
"2005-03-19 00:00:00";621
"2005-03-20 00:00:00";621
"2005-03-21 00:00:00";634
"2005-03-22 00:00:00";637
"2005-03-23 00:00:00";654
"2005-03-24 00:00:00";673
"2005-03-25 00:00:00";673
"2005-03-26 00:00:00";673
"2005-03-27 00:00:00";673
"2005-03-28 00:00:00";683
"2005-03-29 00:00:00";675
"2005-03-30 00:00:00";677
"2005-03-31 00:00:00";660
"2005-04-01 00:00:00";659
"2005-04-02 00:00:00";659
"2005-04-03 00:00:00";659
"2005-04-04 00:00:00";669
"2005-04-05 00:00:00";676
"2005-04-06 00:00:00";666
"2005-04-07 00:00:00";654
"2005-04-08 00:00:00";655
"2005-04-09 00:00:00";655
"2005-04-10 00:00:00";655
"2005-04-11 00:00:00";661
"2005-04-12 00:00:00";662
"2005-04-13 00:00:00";663
"2005-04-14 00:00:00";691
"2005-04-15 00:00:00";730
"2005-04-16 00:00:00";730
"2005-04-17 00:00:00";730
"2005-04-18 00:00:00";737
"2005-04-19 00:00:00";718
"2005-04-20 00:00:00";786
"2005-04-21 00:00:00";820
"2005-04-22 00:00:00";861
"2005-04-23 00:00:00";861
"2005-04-24 00:00:00";861
"2005-04-25 00:00:00";887
"2005-04-26 00:00:00";821
"2005-04-27 00:00:00";833
"2005-04-28 00:00:00";836
"2005-04-29 00:00:00";810
"2005-04-30 00:00:00";810
"2005-05-01 00:00:00";810
"2005-05-02 00:00:00";796
"2005-05-03 00:00:00";787
"2005-05-04 00:00:00";817
"2005-05-05 00:00:00";797
"2005-05-06 00:00:00";796
"2005-05-07 00:00:00";796
"2005-05-08 00:00:00";796
"2005-05-09 00:00:00";797
"2005-05-10 00:00:00";824
"2005-05-11 00:00:00";817
"2005-05-12 00:00:00";829
"2005-05-13 00:00:00";840
"2005-05-14 00:00:00";840
"2005-05-15 00:00:00";840
"2005-05-16 00:00:00";837
"2005-05-17 00:00:00";873
"2005-05-18 00:00:00";864
"2005-05-19 00:00:00";858
"2005-05-20 00:00:00";851
"2005-05-21 00:00:00";851
"2005-05-22 00:00:00";851
"2005-05-23 00:00:00";851
"2005-05-24 00:00:00";862
"2005-05-25 00:00:00";837
"2005-05-26 00:00:00";867
"2005-05-27 00:00:00";867
"2005-05-28 00:00:00";867
"2005-05-29 00:00:00";867
"2005-05-30 00:00:00";867
"2005-05-31 00:00:00";875
"2005-06-01 00:00:00";874
"2005-06-02 00:00:00";863
"2005-06-03 00:00:00";870
"2005-06-04 00:00:00";870
"2005-06-05 00:00:00";870
"2005-06-06 00:00:00";861
"2005-06-07 00:00:00";859
"2005-06-08 00:00:00";844
"2005-06-09 00:00:00";842
"2005-06-10 00:00:00";816
"2005-06-11 00:00:00";816
"2005-06-12 00:00:00";816
"2005-06-13 00:00:00";806
"2005-06-14 00:00:00";796
"2005-06-15 00:00:00";783
"2005-06-16 00:00:00";780
"2005-06-17 00:00:00";767
"2005-06-18 00:00:00";767
"2005-06-19 00:00:00";767
"2005-06-20 00:00:00";762
"2005-06-21 00:00:00";793
"2005-06-22 00:00:00";807
"2005-06-23 00:00:00";821
"2005-06-24 00:00:00";831
"2005-06-25 00:00:00";831
"2005-06-26 00:00:00";831
"2005-06-27 00:00:00";832
"2005-06-28 00:00:00";806
"2005-06-29 00:00:00";799
"2005-06-30 00:00:00";808
"2005-07-01 00:00:00";801
"2005-07-02 00:00:00";801
"2005-07-03 00:00:00";801
"2005-07-04 00:00:00";801
"2005-07-05 00:00:00";810
"2005-07-06 00:00:00";809
"2005-07-07 00:00:00";815
"2005-07-08 00:00:00";797
"2005-07-09 00:00:00";797
"2005-07-10 00:00:00";797
"2005-07-11 00:00:00";803
"2005-07-12 00:00:00";771
"2005-07-13 00:00:00";738
"2005-07-14 00:00:00";735
"2005-07-15 00:00:00";727
"2005-07-16 00:00:00";727
"2005-07-17 00:00:00";727
"2005-07-18 00:00:00";723
"2005-07-19 00:00:00";725
"2005-07-20 00:00:00";733
"2005-07-21 00:00:00";718
"2005-07-22 00:00:00";743
"2005-07-23 00:00:00";743
"2005-07-24 00:00:00";743
"2005-07-25 00:00:00";767
"2005-07-26 00:00:00";751
"2005-07-27 00:00:00";743
"2005-07-28 00:00:00";736
"2005-07-29 00:00:00";735
"2005-07-30 00:00:00";735
"2005-07-31 00:00:00";735
"2005-08-01 00:00:00";721
"2005-08-02 00:00:00";708
"2005-08-03 00:00:00";705
"2005-08-04 00:00:00";701
"2005-08-05 00:00:00";688
"2005-08-06 00:00:00";688
"2005-08-07 00:00:00";688
"2005-08-08 00:00:00";701
"2005-08-09 00:00:00";700
"2005-08-10 00:00:00";699
"2005-08-11 00:00:00";701
"2005-08-12 00:00:00";714
"2005-08-13 00:00:00";714
"2005-08-14 00:00:00";714
"2005-08-15 00:00:00";700
"2005-08-16 00:00:00";700
"2005-08-17 00:00:00";703
"2005-08-18 00:00:00";708
"2005-08-19 00:00:00";731
"2005-08-20 00:00:00";731
"2005-08-21 00:00:00";731
"2005-08-22 00:00:00";737
"2005-08-23 00:00:00";744
"2005-08-24 00:00:00";746
"2005-08-25 00:00:00";732
"2005-08-26 00:00:00";720
"2005-08-27 00:00:00";720
"2005-08-28 00:00:00";720
"2005-08-29 00:00:00";719
"2005-08-30 00:00:00";720
"2005-08-31 00:00:00";727
"2005-09-01 00:00:00";721
"2005-09-02 00:00:00";716
"2005-09-03 00:00:00";716
"2005-09-04 00:00:00";716
"2005-09-05 00:00:00";716
"2005-09-06 00:00:00";712
"2005-09-07 00:00:00";709
"2005-09-08 00:00:00";704
"2005-09-09 00:00:00";707
"2005-09-10 00:00:00";707
"2005-09-11 00:00:00";707
"2005-09-12 00:00:00";708
"2005-09-13 00:00:00";710
"2005-09-14 00:00:00";698
"2005-09-15 00:00:00";691
"2005-09-16 00:00:00";672
"2005-09-17 00:00:00";672
"2005-09-18 00:00:00";672
"2005-09-19 00:00:00";674
"2005-09-20 00:00:00";662
"2005-09-21 00:00:00";671
"2005-09-22 00:00:00";673
"2005-09-23 00:00:00";673
"2005-09-24 00:00:00";673
"2005-09-25 00:00:00";673
"2005-09-26 00:00:00";652
"2005-09-27 00:00:00";648
"2005-09-28 00:00:00";653
"2005-09-29 00:00:00";639
"2005-09-30 00:00:00";634
"2005-10-01 00:00:00";634
"2005-10-02 00:00:00";634
