SQLDATE,avg_goldstein,avg_tone,event_count
20150218,3.0599999999999996,-0.081659693082515528,15
20150217,-0.85000000000000009,1.9206130800337002,6
20150216,3.5999999999999996,2.5653889467225954,9
20150215,2.2857142857142856,3.1114124754379393,14
20150214,1.0374999999999999,3.263361754358586,8
20150213,1.3749999999999998,2.1415287545876311,36
20150212,2.9371428571428564,2.0072571225740123,35
20150211,0.83333333333333348,2.4787309607198873,27
20150210,2.2260869565217387,2.8085344380460522,23
20150209,3.3666666666666658,3.1674301229304502,18
20150208,-0.84999999999999987,3.6193983015910276,16
20150207,0.33999999999999986,2.080118339705114,5
20150206,0.7,2.2109307834613756,21
20150205,2.5456521739130427,1.8486555078058884,46
20150204,2.9965517241379307,3.4084443215290645,29
20150203,1.3333333333333335,2.2142274011463789,9
20150202,0.48181818181818165,2.8023079979825192,11
20150201,1.4230769230769231,2.371365915755058,13
20150131,2.3615384615384611,1.1475761475761477,13
20150130,2.656,1.8674044354787456,25
20150129,2.4999999999999996,2.759076641830327,46
20150128,4.7444444444444445,3.5308714320492509,27
20150127,3.1333333333333333,2.4635889276902336,9
20150126,1.2499999999999998,1.9485604706792208,22
20150125,2.5,0.25192582943342678,3
20150124,2.3499999999999996,3.3647187555552955,10
20150123,1.9069767441860468,2.032129855671664,43
20150122,1.1305555555555555,1.9624688433861424,36
20150121,1.5975,3.0255761078701751,40
20150120,2.5361445783132535,1.9510403265095697,83
20150119,1.7062499999999998,1.8075318937446612,96
20150118,2.2272727272727271,3.5183082252320821,11
20150117,1.0615384615384613,3.95008373630394,13
20150116,1.523076923076923,3.4463036692012157,13
20150115,0.58571428571428563,2.03265090378578,21
20150114,1.65,2.7377266667690519,12
20150113,2.95,3.0925350631963497,14
20150112,2.8666666666666667,2.0443371021842154,15
20150111,2.125,2.5644540031374738,4
20150110,3.296551724137931,2.4071214433674744,29
20150109,1,3.03030303030303,4
20150108,1.4882352941176473,3.3897346987059391,51
20150107,3.1535714285714285,3.2447847870107718,28
20150106,2.1999999999999997,3.4436539849469,3
20150105,2.0500000000000003,1.810942714458281,12
20150104,1.8294117647058823,4.3155641971734182,17
20150103,2.3499999999999996,2.76243093922652,4
20150102,1.7571428571428569,2.2588129751128134,21
20150101,1.3750000000000002,1.96463654223969,8
20141231,1.5100000000000002,2.2215250168869178,20
20141230,1.9999999999999996,2.5288319582750023,18
20141229,4.0999999999999988,3.6435014050608361,12
20141228,2.7608695652173916,3.3044612055365112,23
20141227,2.3499999999999996,4.4256696693137316,16
20141226,2.2599999999999989,3.2288209199172053,45
20141225,1.8399999999999996,4.7347360570644828,20
20141224,-1.0499999999999998,2.2470391665438076,4
20141223,2.1195121951219513,3.1451305950836961,41
20141222,2.1266666666666665,3.4126878094428839,45
20141221,2.3857142857142852,3.1609891803408652,21
20141220,1.9,4.3956043956044,1
20141219,0.89999999999999991,2.2972792597623122,18
20141218,0.015384615384615385,2.6969886284130156,13
20141217,0.42571428571428582,2.3918073174687087,35
20141216,-2.4529411764705884,1.9387827404566935,17
20141215,4.16551724137931,5.0409281566630169,29
20141214,5.4499999999999993,2.9044532634621936,6
20141213,1.7714285714285714,2.5370462508635026,7
20141212,3.8609756097560979,4.6393366752874963,41
20141211,-1.4000000000000004,1.89059575626457,17
20141210,1.7304347826086957,1.4090058533217547,23
20141209,2.7711538461538456,2.6073787894315092,52
20141208,0.0999999999999999,2.8578511773090014,17
20141207,1.9181818181818182,3.1591690767077734,11
20141206,1.6157894736842104,3.0855559867950761,19
20141205,2.6448275862068966,2.8609670934886635,29
