"Período";"PIB Nominal Anual en Millones de USD"
"2004-01-01 00:00:00";35194,9
"2005-01-01 00:00:00";40278,9
"2006-01-01 00:00:00";45690,8
"2007-01-01 00:00:00";49848,7
"2008-01-01 00:00:00";61139,4
"2009-01-01 00:00:00";60095
"2010-01-01 00:00:00";68151,3
"2011-01-01 00:00:00";78986,6
"2012-01-01 00:00:00";87735
"2013-01-01 00:00:00";96570,3
"2014-01-01 00:00:00";102717,8
"2015-01-01 00:00:00";97209,6
"2016-01-01 00:00:00";97671,4
"2017-01-01 00:00:00";104467,5
"2018-01-01 00:00:00";107479
"2019-01-01 00:00:00";107595,8
"2020-01-01 00:00:00";95865,5
"2021-01-01 00:00:00";107179,1
"2022-01-01 00:00:00";116133,1
"2023-01-01 00:00:00";121147,1
"2024-01-01 00:00:00";124676,1
