"Período";"Producción Petrolera Nacional en Barriles - Diaria"
"2018-01-01 00:00:00";519511,99
"2018-01-02 00:00:00";519893,73
"2018-01-03 00:00:00";517992,84
"2018-01-04 00:00:00";516203,5
"2018-01-05 00:00:00";513251,01
"2018-01-06 00:00:00";515995,23
"2018-01-07 00:00:00";513215,55
"2018-01-08 00:00:00";512831,05
"2018-01-09 00:00:00";508896,08
"2018-01-10 00:00:00";512725,47
"2018-01-11 00:00:00";514122,42
"2018-01-12 00:00:00";513846,57
"2018-01-13 00:00:00";513303,7
"2018-01-14 00:00:00";514426,13
"2018-01-15 00:00:00";513610,92
"2018-01-16 00:00:00";511646,07
"2018-01-17 00:00:00";513737,49
"2018-01-18 00:00:00";512890,76
"2018-01-19 00:00:00";513507,13
"2018-01-20 00:00:00";506669,27
"2018-01-21 00:00:00";510710,94
"2018-01-22 00:00:00";507496,28
"2018-01-23 00:00:00";509224,23
"2018-01-24 00:00:00";508219,06
"2018-01-25 00:00:00";509876,76
"2018-01-26 00:00:00";510897,97
"2018-01-27 00:00:00";512584,86
"2018-01-28 00:00:00";513154,17
"2018-01-29 00:00:00";513208,77
"2018-01-30 00:00:00";513273,76
"2018-01-31 00:00:00";512675,22
"2018-02-01 00:00:00";513844,61
"2018-02-02 00:00:00";513724,21
"2018-02-03 00:00:00";513189,12
"2018-02-04 00:00:00";510272,62
"2018-02-05 00:00:00";509657,38
"2018-02-06 00:00:00";512735,24
"2018-02-07 00:00:00";512482,3
"2018-02-08 00:00:00";512458,44
"2018-02-09 00:00:00";504478,34
"2018-02-10 00:00:00";512467,74
"2018-02-11 00:00:00";512443,45
"2018-02-12 00:00:00";513214,43
"2018-02-13 00:00:00";511041,17
"2018-02-14 00:00:00";511899,16
"2018-02-15 00:00:00";513905,82
"2018-02-16 00:00:00";514065,48
"2018-02-17 00:00:00";513952,64
"2018-02-18 00:00:00";514156,77
"2018-02-19 00:00:00";514268,94
"2018-02-20 00:00:00";514761,61
"2018-02-21 00:00:00";514702,38
"2018-02-22 00:00:00";513754,63
"2018-02-23 00:00:00";515069,85
"2018-02-24 00:00:00";503971,47
"2018-02-25 00:00:00";513119,81
"2018-02-26 00:00:00";513475,36
"2018-02-27 00:00:00";516922,17
"2018-02-28 00:00:00";515268,7
"2018-03-01 00:00:00";512476,53
"2018-03-02 00:00:00";510574,01
"2018-03-03 00:00:00";510047,36
"2018-03-04 00:00:00";514820,74
"2018-03-05 00:00:00";512578,62
"2018-03-06 00:00:00";513706,62
"2018-03-07 00:00:00";513026,42
"2018-03-08 00:00:00";512499,9
"2018-03-09 00:00:00";513269,06
"2018-03-10 00:00:00";507501,2
"2018-03-11 00:00:00";514855,11
"2018-03-12 00:00:00";515463,78
"2018-03-13 00:00:00";514599,34
"2018-03-14 00:00:00";511836,44
"2018-03-15 00:00:00";510405,65
"2018-03-16 00:00:00";510503,06
"2018-03-17 00:00:00";507421,16
"2018-03-18 00:00:00";509750,66
"2018-03-19 00:00:00";506327,14
"2018-03-20 00:00:00";510303,04
"2018-03-21 00:00:00";511344,17
"2018-03-22 00:00:00";510727,64
"2018-03-23 00:00:00";510411,65
"2018-03-24 00:00:00";510330,57
"2018-03-25 00:00:00";511742,86
"2018-03-26 00:00:00";509869,86
"2018-03-27 00:00:00";506933,1
"2018-03-28 00:00:00";511665,84
"2018-03-29 00:00:00";512294,42
"2018-03-30 00:00:00";510572,29
"2018-03-31 00:00:00";511023,94
"2018-04-01 00:00:00";510723,21
"2018-04-02 00:00:00";511462,57
