Período;Tasa de desempleo nacional en Porcentaje - Mensual
1/12/2007 0:00;4,99
2/12/2007 0:00;4,99
3/12/2007 0:00;4,99
4/12/2007 0:00;4,99
5/12/2007 0:00;4,99
6/12/2007 0:00;4,99
7/12/2007 0:00;4,99
8/12/2007 0:00;4,99
9/12/2007 0:00;4,99
10/12/2007 0:00;4,99
11/12/2007 0:00;4,99
12/12/2007 0:00;4,99
13/12/2007 0:00;4,99
14/12/2007 0:00;4,99
15/12/2007 0:00;4,99
16/12/2007 0:00;4,99
17/12/2007 0:00;4,99
18/12/2007 0:00;4,99
19/12/2007 0:00;4,99
20/12/2007 0:00;4,99
21/12/2007 0:00;4,99
22/12/2007 0:00;4,99
23/12/2007 0:00;4,99
24/12/2007 0:00;4,99
25/12/2007 0:00;4,99
26/12/2007 0:00;4,99
27/12/2007 0:00;4,99
28/12/2007 0:00;4,99
29/12/2007 0:00;4,99
30/12/2007 0:00;4,99
31/12/2007 0:00;4,99
1/1/2008 0:00;4,99
2/1/2008 0:00;4,99
3/1/2008 0:00;4,99
4/1/2008 0:00;4,99
5/1/2008 0:00;4,99
6/1/2008 0:00;4,99
7/1/2008 0:00;4,99
8/1/2008 0:00;4,99
9/1/2008 0:00;4,99
10/1/2008 0:00;4,99
11/1/2008 0:00;4,99
12/1/2008 0:00;4,99
13/1/2008 0:00;4,99
14/1/2008 0:00;4,99
15/1/2008 0:00;4,99
16/1/2008 0:00;4,99
17/1/2008 0:00;4,99
18/1/2008 0:00;4,99
19/1/2008 0:00;4,99
20/1/2008 0:00;4,99
21/1/2008 0:00;4,99
22/1/2008 0:00;4,99
23/1/2008 0:00;4,99
24/1/2008 0:00;4,99
25/1/2008 0:00;4,99
26/1/2008 0:00;4,99
27/1/2008 0:00;4,99
28/1/2008 0:00;4,99
29/1/2008 0:00;4,99
30/1/2008 0:00;4,99
31/1/2008 0:00;4,99
1/2/2008 0:00;4,99
2/2/2008 0:00;4,99
3/2/2008 0:00;4,99
4/2/2008 0:00;4,99
5/2/2008 0:00;4,99
6/2/2008 0:00;4,99
7/2/2008 0:00;4,99
8/2/2008 0:00;4,99
9/2/2008 0:00;4,99
10/2/2008 0:00;4,99
11/2/2008 0:00;4,99
12/2/2008 0:00;4,99
13/2/2008 0:00;4,99
14/2/2008 0:00;4,99
15/2/2008 0:00;4,99
16/2/2008 0:00;4,99
17/2/2008 0:00;4,99
18/2/2008 0:00;4,99
19/2/2008 0:00;4,99
20/2/2008 0:00;4,99
21/2/2008 0:00;4,99
22/2/2008 0:00;4,99
23/2/2008 0:00;4,99
24/2/2008 0:00;4,99
25/2/2008 0:00;4,99
26/2/2008 0:00;4,99
27/2/2008 0:00;4,99
28/2/2008 0:00;4,99
29/2/2008 0:00;4,99
1/3/2008 0:00;4,99
2/3/2008 0:00;4,99
3/3/2008 0:00;4,99
4/3/2008 0:00;4,99
5/3/2008 0:00;4,99
6/3/2008 0:00;4,99
7/3/2008 0:00;4,99
8/3/2008 0:00;4,99
9/3/2008 0:00;4,99
10/3/2008 0:00;4,99
11/3/2008 0:00;4,99
12/3/2008 0:00;4,99
13/3/2008 0:00;4,99
14/3/2008 0:00;4,99
15/3/2008 0:00;4,99
16/3/2008 0:00;4,99
17/3/2008 0:00;4,99
18/3/2008 0:00;4,99
19/3/2008 0:00;4,99
20/3/2008 0:00;4,99
21/3/2008 0:00;4,99
22/3/2008 0:00;4,99
23/3/2008 0:00;4,99
24/3/2008 0:00;4,99
25/3/2008 0:00;4,99
26/3/2008 0:00;4,99
27/3/2008 0:00;4,99
28/3/2008 0:00;4,99
29/3/2008 0:00;4,99
30/3/2008 0:00;4,99
31/3/2008 0:00;4,99
1/4/2008 0:00;4,99
2/4/2008 0:00;4,99
3/4/2008 0:00;4,99
4/4/2008 0:00;4,99
5/4/2008 0:00;4,99
6/4/2008 0:00;4,99
7/4/2008 0:00;4,99
8/4/2008 0:00;4,99
9/4/2008 0:00;4,99
10/4/2008 0:00;4,99
11/4/2008 0:00;4,99
12/4/2008 0:00;4,99
13/4/2008 0:00;4,99
14/4/2008 0:00;4,99
15/4/2008 0:00;4,99
16/4/2008 0:00;4,99
17/4/2008 0:00;4,99
18/4/2008 0:00;4,99
19/4/2008 0:00;4,99
20/4/2008 0:00;4,99
21/4/2008 0:00;4,99
22/4/2008 0:00;4,99
23/4/2008 0:00;4,99
24/4/2008 0:00;4,99
25/4/2008 0:00;4,99
26/4/2008 0:00;4,99
27/4/2008 0:00;4,99
28/4/2008 0:00;4,99
29/4/2008 0:00;4,99
30/4/2008 0:00;4,99
1/5/2008 0:00;4,99
2/5/2008 0:00;4,99
3/5/2008 0:00;4,99
4/5/2008 0:00;4,99
5/5/2008 0:00;4,99
6/5/2008 0:00;4,99
7/5/2008 0:00;4,99
8/5/2008 0:00;4,99
